"Ely",3b,1175,1204,0,1,7,141,818
"Bedford",3b,699,789,0,0,26,426,855
"Biggleswade",3b,791,833,2,1,11,203,872
"Brackley",3b,1,23,0,1,8,81,906
"Brixworth",3b,255,285,0,0,13,103,930
"Peterborough",3b,503,597,1,6,15,540,965
"Potterspury",3b,53,78,0,0,10,93,988
"Wellingborough",3b,287,365,1,2,14,475,1026
"Whittlesey",3b,1231,1238,0,1,1,40,1071
"Wisbech",3b,1239,1289,0,0,11,269,1086
"Halstead",4a,1215,1236,1,0,7,84,14
"Hartismere",4a,1595,1628,3,0,13,102,24
"Hoxne",4a,1629,1641,0,0,5,39,79
"Ongar",4a,683,695,0,0,6,33,94
"Orsett",4a,799,845,0,2,12,241,96
"Tendring",4a,1049,1111,0,0,18,290,192
"Thingoe",4a,1475,1511,0,1,18,90,200
"Saffron Walden",4a,1313,1349,0,2,15,126,232
"Samford",4a,1673,1709,1,0,18,97,236
"Stow (to 1935)",4a,1550,1593,0,0,16,172,316
"Sudbury",4a,1385,1442,1,2,18,252,326
"Risbridge",4a,1351,1383,1,0,15,97,361
"Rochford",4a,937,1013,2,1,22,369,363
"Chelmsford",4a,877,936,3,0,16,299,527
"Colchester",4a,1113,1165,0,0,13,293,561
"Cosford",4a,1443,1474,0,2,11,119,570
"Dunmow",4a,1279,1312,1,1,15,114,613
"Maldon (1837-1972)",4a,1015,1048,0,0,11,138,646
"Mildenhall",4a,1531,1549,2,1,9,52,684
"Mutford",4a,1953,2003,1,0,9,282,692
"Ipswich",4a,1711,1791,0,0,8,525,696
"Lexden",4a,1167,1213,0,0,19,149,721
"Epping",4a,637,682,2,0,10,221,820
"Billericay",4a,847,875,0,0,9,120,873
"Blything",4a,1883,1929,0,0,19,151,893
"Bosmere",4a,1643,1672,0,0,11,121,899
"Braintree",4a,1237,1278,0,0,14,168,911
"Bury St Edmunds",4a,1513,1529,2,0,0,121,946
"Plomesgate",4a,1843,1881,0,0,15,138,970
"Wangford",4a,1931,1951,0,0,5,100,1010
"West Ham",4a,1,635,0,13,28,4721,1046
"Woodbridge",4a,1793,1842,0,0,22,168,1093
"Henstead",4b,339,353,0,1,5,57,48
"Aylsham",4b,133,163,1,0,13,81,146
"Flegg",4b,61,79,0,0,8,64,161
"Forehoe",4b,323,337,0,1,6,53,166
"Freebridge Lynn",4b,559,575,0,2,7,51,168
"Thetford",4b,645,670,0,1,8,102,199
"Smallburgh",4b,81,104,0,0,9,90,273
"Swaffham",4b,625,643,1,0,8,63,338
"St Faiths",4b,165,185,0,0,8,65,387
"Guiltcross",4b,425,437,0,1,6,26,434
"Norwich",4b,187,321,0,3,19,840,487
"Depwade",4b,393,423,0,1,14,97,590
"Docking",4b,527,557,0,1,12,108,596
"Downham",4b,597,623,0,0,9,104,603
