"Ware",3a,593,608,0,1,1,269,1012
"Watford",3a,697,733,0,0,2,696,1021
"Winslow",3a,861,865,0,0,0,92,1084
"Witney",3a,979,992,0,0,0,249,1088
"Woodstock",3a,971,978,0,0,1,120,1095
"Wycombe",3a,805,843,1,0,2,697,1107
"Hardingstone",3b,29,36,0,0,0,134,20
"Huntingdon",3b,279,295,2,0,1,270,84
"Oundle",3b,227,233,0,0,0,118,99
"Ampthill",3b,383,400,0,0,3,280,124
"Thrapston",3b,215,225,1,0,1,187,204
"Towcester",3b,9,17,0,0,1,133,214
"St Ives",3b,297,309,0,0,1,198,394
"St Neots",3b,311,319,0,0,1,144,400
"Newmarket (to 1938)",3b,509,532,0,0,1,429,452
"North Witchford",3b,551,563,0,0,1,219,474
"Northampton (1837-1923)",3b,37,101,2,0,1,1260,476
"Cambridge (1837-1935)",3b,479,502,0,1,1,444,499
"Caxton",3b,453,456,0,0,0,74,518
"Chesterton",3b,457,478,1,0,0,413,537
"Daventry",3b,103,115,0,0,1,205,585
"Leighton Buzzard",3b,401,413,0,0,2,184,717
"Linton",3b,503,508,0,1,0,102,726
"Luton",3b,415,452,2,1,1,714,749
"Kettering",3b,171,213,0,0,1,840,759
"Ely",3b,533,549,0,0,2,237,818
"Bedford",3b,321,359,3,0,3,677,855
"Biggleswade",3b,361,381,0,3,0,391,872
"Brackley",3b,1,7,0,0,0,123,906
"Brixworth",3b,117,124,0,0,0,144,930
"Peterborough",3b,235,277,0,1,2,773,965
"Potterspury",3b,19,28,0,0,0,184,988
"Wellingborough",3b,125,169,1,0,2,837,1026
"Whittlesey",3b,565,570,0,0,0,108,1071
"Wisbech",3b,571,597,0,0,3,433,1086
"Halstead",4a,765,776,0,0,1,204,14
"Hartismere",4a,921,930,3,0,1,167,24
"Hoxne",4a,931,939,0,1,1,139,79
"Ongar",4a,479,485,0,0,1,108,94
"Orsett",4a,561,587,0,0,0,511,96
"Tendring",4a,685,718,0,1,2,608,192
"Thingoe",4a,873,885,0,0,1,203,200
"Saffron Walden",4a,809,820,0,0,1,196,232
"Samford",4a,953,962,2,1,0,181,236
"Stow (to 1935)",4a,905,919,0,0,1,230,316
"Sudbury",4a,837,860,0,0,4,341,326
"Risbridge",4a,821,835,1,0,2,241,361
"Rochford",4a,629,666,3,0,1,686,363
"Romford",4a,487,560,0,0,1,1405,364
"Chelmsford",4a,603,628,4,0,2,437,527
"Colchester",4a,719,747,2,0,1,530,561
"Cosford",4a,861,872,1,0,1,217,570
"Dunmow",4a,795,807,0,0,0,200,613
"Maldon (1837-1972)",4a,667,683,2,0,2,274,646
"Mildenhall",4a,899,904,4,0,0,102,684
"Mutford",4a,1079,1113,1,1,1,646,692
"Ipswich",4a,963,1007,3,0,0,912,696
"Lexden",4a,749,764,0,0,1,275,721
"Epping",4a,457,478,1,0,2,372,820
"Billericay",4a,589,602,0,0,1,246,873
"Blything",4a,1045,1065,0,0,2,374,893
"Bosmere",4a,941,951,0,0,0,220,899
"Braintree",4a,777,794,0,0,1,308,911
"Bury St Edmunds",4a,887,898,0,0,0,235,946
"Plomesgate",4a,1029,1043,0,0,1,252,970
"Wangford",4a,1067,1077,0,0,0,203,1010
"West Ham",4a,1,456,0,2,0,9132,1046
"Woodbridge",4a,1009,1028,0,1,2,326,1093
"Henstead",4b,189,195,0,0,1,103,48
"Aylsham",4b,73,84,0,0,1,214,146
"Flegg",4b,37,43,0,0,0,131,161
"Forehoe",4b,179,187,0,0,1,155,166
"Freebridge Lynn",4b,301,311,0,0,1,152,168
"Thetford",4b,351,361,0,0,0,195,199
"Smallburgh",4b,45,54,0,0,0,170,273
"Swaffham",4b,343,350,0,4,0,145,338
"St Faiths",4b,85,93,0,0,0,178,387
"Guiltcross",4b,237,243,0,0,1,105,434
"Norwich",4b,95,178,0,6,0,1684,487
"Depwade",4b,219,235,0,0,1,305,590
"Docking",4b,285,299,0,0,0,283,596
"Downham",4b,327,341,0,0,1,254,603
"Mitford",4b,251,268,0,0,2,288,688
"Loddon",4b,207,217,0,1,2,144,739
"Kings Lynn",4b,313,326,0,0,0,279,766
"Erpingham",4b,55,71,0,0,1,311,823
"Blofield",4b,197,206,0,0,1,157,891
"Yarmouth (1837-1923)",4b,1,35,0,0,0,691,947
"Walsingham",4b,269,284,0,0,1,269,1007
"Wayland",4b,245,250,0,0,0,106,1023
"Amesbury",5a,161,166,0,0,0,95,122
"Tisbury",5a,197,205,0,0,2,113,207
"Salisbury (1895 onw)",5a,167,186,0,0,2,344,235
"Shaftesbury",5a,211,219,0,1,2,133,253
"Sherborne",5a,331,339,0,0,1,139,259
"Sturminster (to 1958)",5a,221,228,0,0,1,111,324
"Swindon",5a,1,45,0,1,0,882,341
"Calne",5a,87,91,0,0,0,94,496
"Chippenham",5a,65,85,0,1,2,331,540
"Cricklade",5a,47,54,0,0,0,146,577
"Devizes",5a,99,112,0,3,1,224,592
"Dorchester",5a,311,330,0,0,3,290,600
"Malmesbury",5a,55,63,2,0,1,148,649
"Marlborough",5a,93,97,1,0,0,99,661
"Melksham",5a,113,123,0,0,1,174,667
"Mere",5a,207,209,0,0,0,45,670
"Beaminster",5a,341,348,0,0,2,90,853
"Blandford",5a,229,236,0,0,1,122,889
"Bradford upon Avon",5a,125,132,0,0,1,116,909
"Bridport (to 1958)",5a,349,358,0,0,2,119,926
"Pewsey",5a,153,160,0,0,0,141,968
"Poole (to 1958)",5a,247,270,0,0,1,440,982
"Wareham",5a,271,283,0,0,1,202,1013
"Warminster",5a,143,152,0,0,1,143,1017
"Westbury",5a,133,141,0,2,1,138,1040
"Weymouth (to 1958)",5a,285,310,1,0,1,461,1061
"Wilton",5a,187,195,0,1,1,129,1077
"Wimborne",5a,237,246,0,0,1,167,1078
"Holsworthy",5b,471,482,0,0,3,119,66
"Honiton",5b,13,22,0,0,0,190,69
"Okehampton",5b,347,361,2,0,2,231,91
"Axminster",5b,1,12,0,0,1,161,144
"Tavistock",5b,329,346,0,0,1,305,186
"Tiverton",5b,375,395,0,0,3,325,208
"Torrington",5b,439,449,0,0,2,151,212
"Totnes",5b,129,160,0,0,4,510,213
"South Molton",5b,397,405,0,2,0,155,284
"St Thomas",5b,23,58,0,0,1,659,405
"Newton Abbot",5b,83,128,1,1,3,805,458
"Crediton",5b,363,374,1,0,1,195,574
"Devonport",5b,277,328,1,3,1,1000,594
"Kingsbridge",5b,161,172,1,0,1,181,763
"East Stonehouse",5b,263,275,0,0,0,251,810
"Exeter",5b,59,82,0,0,0,478,828
"Barnstaple",5b,407,437,0,0,3,495,839
"Bideford",5b,451,467,0,0,1,281,871
"Plymouth",5b,187,261,5,0,1,1481,973
"Plympton St Mary",5b,173,186,0,0,1,236,974
"Helston",5c,157,171,0,0,0,267,42
"Axbridge",5c,441,467,1,1,2,475,143
"Falmouth",5c,139,155,1,0,1,292,149
"Frome",5c,397,411,0,0,2,235,169
"Taunton (1837-1974)",5c,271,295,0,0,1,448,184
"Truro",5c,113,138,0,0,3,411,220
"Shepton Mallet",5c,413,425,0,0,1,211,257
"Stratton",5c,1,6,0,0,1,70,320
"Redruth (to 1974)",5c,173,206,0,0,2,596,348
"St Austell",5c,87,111,0,0,1,445,385
"St Columb",5c,73,85,0,0,1,222,386
"St Germans",5c,25,38,0,0,1,238,391
"Camelford",5c,7,12,0,0,0,87,503
"Chard",5c,343,362,1,0,1,338,524
"Clutton",5c,469,491,0,0,2,384,558
"Dulverton (1855-1936)",5c,255,257,0,0,0,52,612
"Langport",5c,331,341,1,0,1,174,706
"Launceston",5c,13,23,0,0,1,168,707
"Liskeard",5c,39,54,0,0,1,254,727
"Long Ashton",5c,571,585,0,0,1,248,741
"Keynsham",5c,541,569,2,0,1,541,761
"Bath",5c,493,540,0,3,4,831,849
"Bodmin",5c,55,71,0,0,3,245,894
"Bridgwater",5c,297,329,0,0,4,513,923
"Yeovil",5c,363,383,0,0,1,373,949
"Penzance",5c,207,236,0,0,1,527,963
"Wellington Som",5c,259,270,0,0,0,200,1027
"Wells",5c,427,440,0,0,1,237,1029
"Williton",5c,239,253,1,0,4,162,1076
"Wincanton",5c,385,396,0,0,1,190,1079
"Hereford",6a,507,537,0,5,2,519,49
"Oswestry",6a,693,713,1,0,0,373,97
"Atcham",6a,653,691,0,0,5,638,140
"Tetbury",6a,399,404,1,0,1,90,194
"Tewkesbury",6a,473,481,0,0,0,170,195
"Thornbury",6a,273,285,0,5,0,233,202
"Shifnal",6a,623,630,0,0,0,161,260
"Stow on the Wold",6a,427,433,0,0,1,105,317
"Stroud (1837 onw)",6a,369,397,1,3,3,440,322
"Ross",6a,495,506,0,0,1,205,369
"Gloucester (1837-1937)",6a,325,364,0,0,1,773,414
"Newent",6a,319,323,0,0,0,99,446
"Newport S",6a,783,791,0,0,0,160,455
"Northleach",6a,421,426,0,0,0,90,479
"Cheltenham",6a,441,471,1,2,1,593,530
"Chipping Sodbury",6a,257,271,0,0,0,257,542
"Church Stretton",6a,597,599,0,0,0,50,547
"Cirencester",6a,405,419,0,0,2,239,548
"Cleobury Mortimer",6a,601,607,0,0,0,115,552
"Clun",6a,589,596,0,0,1,90,557
"Dursley",6a,287,295,0,0,2,116,626
"Madeley",6a,631,652,0,0,1,377,642
"Market Drayton",6a,747,758,0,0,1,192,659
"Ledbury",6a,483,493,1,1,1,185,708
